id_bien;com_code;Code postal;Nombre pieces principales;Surface Carrez du 1er lot;Type local
22260;78586;78500;3;63.99;Appartement
22261;78646;78000;2;33.91;Appartement
22262;78646;78000;3;49.44;Appartement
22263;80182;80410;2;35.03;Appartement
22264;80826;80460;3;39.31;Appartement
22265;83036;83240;1;21.53;Appartement
22266;83050;83300;1;22.22;Appartement
22267;83062;83130;3;53.04;Appartement
22268;83062;83130;4;78.6;Appartement
22269;83069;83400;2;61.03;Appartement
22270;83069;83400;1;24.13;Appartement
22271;83098;83220;5;85.42;Appartement
22272;83106;83136;3;73.07;Appartement
22273;83123;83110;1;22.19;Appartement
22274;83123;83110;1;21.29;Appartement
22275;83126;83500;2;17.9;Appartement
22276;83129;83140;2;60.7;Appartement
22277;83137;83000;1;40.05;Appartement
22278;83144;83160;3;62.38;Appartement
22279;84003;84400;3;60.83;Appartement
22280;84007;84000;2;41.69;Appartement
22281;84007;84000;3;73.38;Appartement
22282;84031;84200;3;51.82;Appartement
22283;84054;84800;3;66.23;Appartement
22284;84129;84700;2;60.89;Appartement
22285;85151;85290;3;74.75;Appartement
22286;85194;85340;4;90.58;Maison
22287;86070;86300;2;44.74;Maison
22288;88383;88200;3;55.42;Appartement
22289;89024;89000;3;84.65;Appartement
22290;89387;89100;3;73.51;Appartement
22291;91097;91800;4;84.46;Maison
22292;91103;91220;2;43.33;Appartement
22293;91161;91380;4;71.81;Appartement
22294;91326;91260;3;66.06;Appartement
22295;91339;91310;1;29.55;Appartement
22296;91345;91160;3;74.05;Appartement
22297;91345;91160;3;75;Appartement
22298;91386;91540;3;69.85;Appartement
22299;91434;91390;3;52.92;Appartement
22300;91458;91620;6;110;Maison
22301;91549;91700;3;63.03;Appartement
22302;91577;91250;4;134.06;Appartement
22303;91657;91270;3;54.6;Appartement
22304;91661;91140;2;47.25;Appartement
22305;91687;91170;4;65.39;Appartement
22306;91692;91940;2;42;Appartement
22307;92007;92220;3;56.69;Appartement
22308;92019;92290;3;55.68;Appartement
22309;92020;92320;3;71.03;Appartement
22310;92024;92110;2;34.87;Appartement
22311;92024;92110;1;18.01;Appartement
22312;92024;92110;2;25.15;Appartement
22313;92024;92110;3;42.01;Appartement
22314;92026;92400;2;37.75;Appartement
22315;92026;92400;3;61.79;Appartement
22316;92044;92300;3;64.35;Appartement
22317;92044;92300;2;41.7;Appartement
22318;92050;92000;3;49.27;Appartement
22319;92051;92200;5;139.06;Appartement
22320;92051;92200;3;85.33;Appartement
22321;92071;92330;4;83.12;Appartement
22322;92073;92150;3;66.71;Appartement
22323;92073;92150;2;48.3;Appartement
22324;93005;93600;4;71.24;Appartement
22325;93014;93390;4;68.52;Appartement
22326;93031;93800;3;62.37;Appartement
22327;93048;93100;3;61.57;Appartement
22328;93048;93100;3;49.1;Appartement
22329;93048;93100;4;61.69;Appartement
22330;93066;93210;1;43.25;Appartement
22331;93077;93250;1;32.8;Appartement
22332;94003;94110;5;92.7;Appartement
22333;94017;94500;3;51.01;Maison
22334;94018;94220;2;32.67;Appartement
22335;94018;94220;4;82.02;Appartement
22336;94018;94220;3;42.61;Appartement
22337;94019;94430;3;71.71;Appartement
22338;94019;94430;1;47.7;Appartement
22339;94022;94600;3;68.03;Appartement
22340;94028;94000;3;59.46;Appartement
22341;94033;94120;4;82.02;Appartement
22342;94033;94120;3;45.03;Maison
22343;94034;94260;3;63.02;Appartement
22344;94034;94260;3;58.26;Appartement
22345;94041;94200;4;75.01;Appartement
22346;94044;94450;3;59.15;Appartement
22347;94046;94700;5;99.9;Appartement
22348;94046;94700;2;35.02;Appartement
22349;94067;94160;2;55.65;Appartement
